name,price,ingredients
Mojito,28.00,rum|lime juice|mint|soda|crushed ice
Margarita,29.00,tequila|lime juice|ice cubes
Cosmopolitan,30.00,vodka|cranberry juice|lime|ice cubes
Moscow Mule,29.00,vodka|lime juice|ginger beer|ice cubes
Cuba Libre,27.00,rum|lime juice|cola|ice cubes
Mai Tai,34.00,rum|lime juice|sugar|ice cubes
Pina Colada,31.00,rum|pineapple juice|crushed ice
Tequila Sunrise,29.00,tequila|orange juice|ice cubes
Bloody Mary,30.00,vodka|lemon juice|pepper|ice cubes
Whisky Sour,31.00,whisky|lemon juice|sugar|ice cubes
Old Fashioned,32.00,whisky|water|sugar|ice cubes
Espresso Martini,32.00,vodka|coffee|ice cubes
Bellini,28.00,prosecco|peach puree
Mimosa,27.00,prosecco|orange juice
Aperol Spritz,30.00,aperol|prosecco|soda|ice cubes
Negroni,32.00,gin|red wine|ice cubes
Dry Martini,31.00,gin|white wine|ice cubes
BeTon,28.00,becherovka|tonic|lemon|ice cubes
Jager Passion,31.00,jagermeister|passion fruit juice|mint|crushed ice
Wine Cooler,26.00,white wine|apple juice|sparkling water|ice cubes
